time,open,high,low,close,tick_volume,spread,real_volume
1726259100,0.67084,0.6709,0.6708,0.67082,75.0,9,0.0
1726259400,0.67086,0.67093,0.67075,0.67078,105.0,9,0.0
1726259700,0.67077,0.67081,0.6707,0.6707,98.0,9,0.0
1726260000,0.6707,0.67079,0.6706,0.67071,84.0,9,0.0
1726260300,0.67071,0.67074,0.6706,0.67072,91.0,10,0.0
1726260600,0.67072,0.67077,0.67063,0.67068,93.0,10,0.0
1726260900,0.67068,0.6707,0.67059,0.67059,118.0,8,0.0
1726261200,0.67058,0.67059,0.67022,0.67054,245.0,8,0.0
1726261500,0.67054,0.67085,0.67054,0.67084,154.0,8,0.0
1726261800,0.67085,0.6709,0.67066,0.67071,146.0,8,0.0
1726262100,0.6707,0.67085,0.67066,0.67083,172.0,8,0.0
1726262400,0.67083,0.67088,0.67073,0.67078,163.0,8,0.0
1726262700,0.67077,0.67077,0.67054,0.67067,151.0,8,0.0
1726263000,0.67068,0.67074,0.6706,0.67068,136.0,8,0.0
1726263300,0.67069,0.6707,0.67042,0.67045,129.0,9,0.0
1726263600,0.67045,0.67065,0.67042,0.67052,152.0,9,0.0
1726263900,0.67051,0.67063,0.67039,0.6704,146.0,9,0.0
1726264200,0.67038,0.67044,0.67018,0.67022,174.0,8,0.0
1726264500,0.67021,0.67025,0.67,0.67025,149.0,8,0.0
1726264800,0.67024,0.67024,0.66996,0.67003,181.0,8,0.0
1726265100,0.67003,0.67029,0.67002,0.67021,92.0,8,0.0
1726265400,0.67021,0.67034,0.67014,0.67034,85.0,10,0.0
1726265700,0.67034,0.67056,0.67033,0.67051,82.0,9,0.0
1726266000,0.67051,0.67063,0.67049,0.67061,83.0,9,0.0
1726266300,0.67061,0.67069,0.67057,0.67062,72.0,8,0.0
1726266600,0.67059,0.67059,0.67047,0.67052,96.0,9,0.0
1726266900,0.67052,0.67053,0.67029,0.67037,84.0,8,0.0
1726267200,0.67035,0.67043,0.67031,0.67033,90.0,8,0.0
1726267500,0.67032,0.67041,0.67026,0.67029,110.0,8,0.0
1726267800,0.67028,0.67038,0.67024,0.67036,87.0,8,0.0
1726268100,0.67035,0.67038,0.67032,0.67035,140.0,8,0.0
1726268400,0.67036,0.67037,0.67026,0.67036,99.0,9,0.0
1726268700,0.67036,0.67039,0.67031,0.67037,52.0,8,0.0
1726269000,0.67037,0.67043,0.67036,0.67041,29.0,10,0.0
1726269300,0.67042,0.67049,0.67041,0.67049,37.0,8,0.0
1726269600,0.67049,0.67049,0.67045,0.67047,32.0,9,0.0
1726269900,0.67047,0.6705,0.67042,0.67045,43.0,9,0.0
1726270200,0.67048,0.67054,0.67038,0.67039,39.0,9,0.0
1726270500,0.67039,0.67042,0.67034,0.67037,67.0,9,0.0
1726270800,0.67038,0.67042,0.67037,0.67037,40.0,9,0.0
1726271100,0.67037,0.67051,0.67037,0.67048,57.0,8,0.0
1726271400,0.67048,0.67053,0.67039,0.67041,37.0,9,0.0
1726271700,0.67041,0.67041,0.67022,0.67031,53.0,4,0.0
1726444800,0.66959,0.67034,0.66959,0.67034,18.0,76,0.0
1726445100,0.67029,0.67034,0.67,0.67013,15.0,45,0.0
1726445400,0.67014,0.67025,0.67005,0.67019,13.0,76,0.0
1726445700,0.6703,0.6703,0.67011,0.67024,18.0,27,0.0
1726446000,0.67024,0.67028,0.67005,0.67028,12.0,27,0.0
1726446300,0.67028,0.67029,0.67028,0.67029,6.0,27,0.0
1726446600,0.67029,0.67029,0.67008,0.67017,12.0,27,0.0
1726446900,0.67017,0.6702,0.67008,0.6702,10.0,27,0.0
1726447200,0.6702,0.6702,0.67013,0.67019,11.0,27,0.0
1726447500,0.67019,0.67021,0.67018,0.67018,11.0,26,0.0
1726447800,0.67018,0.67021,0.67009,0.67021,15.0,27,0.0
1726448100,0.67015,0.67025,0.67014,0.67023,14.0,27,0.0
1726448400,0.67024,0.67088,0.67024,0.67063,101.0,14,0.0
1726448700,0.67062,0.6708,0.67059,0.67064,32.0,14,0.0
1726449000,0.67064,0.67068,0.67054,0.67056,31.0,13,0.0
1726449300,0.67056,0.67058,0.67049,0.67051,68.0,11,0.0
1726449600,0.67051,0.67055,0.67042,0.67046,63.0,10,0.0
1726449900,0.67046,0.67071,0.67046,0.67048,97.0,8,0.0
1726450200,0.67048,0.67065,0.67048,0.67058,103.0,9,0.0
1726450500,0.67058,0.67061,0.67046,0.67051,66.0,9,0.0
1726450800,0.67052,0.67082,0.67052,0.6707,48.0,8,0.0
1726451100,0.67069,0.67082,0.67064,0.67079,42.0,10,0.0
1726451400,0.67081,0.67085,0.67078,0.67079,41.0,9,0.0
1726451700,0.67079,0.67096,0.67078,0.67089,37.0,9,0.0
1726452000,0.67087,0.67087,0.67068,0.6708,68.0,9,0.0
1726452300,0.67077,0.67089,0.67074,0.67088,67.0,9,0.0
1726452600,0.67088,0.67088,0.67078,0.67085,51.0,8,0.0
1726452900,0.67085,0.671,0.67085,0.67096,49.0,9,0.0
1726453200,0.67096,0.671,0.67091,0.67095,53.0,9,0.0
1726453500,0.67094,0.67103,0.67094,0.67103,36.0,9,0.0
1726453800,0.67103,0.67107,0.67088,0.67091,81.0,9,0.0
1726454100,0.67091,0.67101,0.67091,0.671,56.0,9,0.0
1726454400,0.67098,0.67116,0.67093,0.67116,70.0,9,0.0
1726454700,0.67116,0.67119,0.67103,0.67113,62.0,9,0.0
1726455000,0.67114,0.67127,0.67112,0.67125,55.0,8,0.0
1726455300,0.67124,0.67134,0.67121,0.67131,51.0,9,0.0
1726455600,0.67131,0.67144,0.67131,0.67136,81.0,9,0.0
1726455900,0.67136,0.67137,0.67112,0.67112,81.0,8,0.0
1726456200,0.67113,0.67116,0.671,0.671,67.0,9,0.0
1726456500,0.671,0.67105,0.67095,0.67102,58.0,9,0.0
1726456800,0.67102,0.67107,0.67098,0.67098,57.0,8,0.0
1726457100,0.67099,0.67106,0.67098,0.67102,64.0,8,0.0
1726457400,0.67102,0.6711,0.671,0.67107,76.0,8,0.0
1726457700,0.67107,0.67139,0.671,0.67138,93.0,8,0.0
1726458000,0.67138,0.67145,0.67117,0.67135,118.0,8,0.0
1726458300,0.67134,0.67134,0.67109,0.67126,91.0,8,0.0
1726458600,0.67126,0.67128,0.67109,0.67114,107.0,8,0.0
1726458900,0.67114,0.67127,0.67111,0.67117,81.0,9,0.0
1726459200,0.67115,0.67131,0.67106,0.67122,123.0,9,0.0
1726459500,0.67122,0.67122,0.67096,0.67098,74.0,9,0.0
1726459800,0.67099,0.67105,0.67089,0.67105,86.0,8,0.0
1726460100,0.67105,0.67105,0.6708,0.67084,76.0,8,0.0
1726460400,0.67085,0.67094,0.67079,0.6709,71.0,9,0.0
1726460700,0.67091,0.67116,0.67087,0.67109,81.0,8,0.0
1726461000,0.67109,0.67112,0.67089,0.67095,105.0,9,0.0
1726461300,0.67094,0.67094,0.67074,0.6708,135.0,9,0.0
1726461600,0.6708,0.67082,0.67061,0.6707,133.0,9,0.0
1726461900,0.6707,0.67077,0.67066,0.67072,89.0,9,0.0
1726462200,0.67073,0.67073,0.67054,0.67064,75.0,9,0.0
1726462500,0.67064,0.67077,0.67059,0.67059,71.0,8,0.0
1726462800,0.6706,0.6708,0.67058,0.67069,67.0,8,0.0
1726463100,0.67069,0.67079,0.67063,0.67063,76.0,8,0.0
1726463400,0.67063,0.67075,0.67063,0.67068,44.0,8,0.0
1726463700,0.67069,0.67095,0.67055,0.67095,74.0,8,0.0
1726464000,0.67094,0.67103,0.67083,0.67093,101.0,9,0.0
1726464300,0.67096,0.671,0.67088,0.67095,56.0,7,0.0
1726464600,0.67095,0.67098,0.67078,0.67083,79.0,8,0.0
1726464900,0.67082,0.67103,0.67081,0.67093,82.0,9,0.0
1726465200,0.67094,0.6711,0.67091,0.67109,80.0,9,0.0
1726465500,0.67106,0.6712,0.67101,0.67118,68.0,9,0.0
1726465800,0.67119,0.67128,0.67115,0.6712,72.0,9,0.0
1726466100,0.67119,0.67129,0.67116,0.67128,60.0,9,0.0
1726466400,0.67129,0.67131,0.67111,0.67115,81.0,9,0.0
1726466700,0.67116,0.67132,0.6711,0.6713,58.0,9,0.0
1726467000,0.67132,0.67167,0.67132,0.67152,53.0,8,0.0
1726467300,0.6715,0.67177,0.6715,0.67175,74.0,8,0.0
1726467600,0.67176,0.67178,0.67164,0.67177,84.0,8,0.0
1726467900,0.67178,0.67206,0.67173,0.67201,123.0,9,0.0
1726468200,0.67202,0.67242,0.67201,0.67236,122.0,8,0.0
1726468500,0.67235,0.67251,0.67234,0.6724,113.0,9,0.0
1726468800,0.6724,0.67252,0.67228,0.6723,99.0,9,0.0
1726469100,0.6723,0.67239,0.67223,0.67233,112.0,9,0.0
1726469400,0.6723,0.67252,0.67228,0.6725,85.0,9,0.0
1726469700,0.67251,0.67268,0.67249,0.67265,105.0,9,0.0
1726470000,0.67264,0.67277,0.67255,0.67277,65.0,9,0.0
1726470300,0.67278,0.67282,0.67264,0.67282,86.0,8,0.0
1726470600,0.67282,0.67294,0.67279,0.67284,78.0,10,0.0
1726470900,0.67283,0.6729,0.6727,0.6727,72.0,9,0.0
1726471200,0.67269,0.67273,0.67261,0.67265,60.0,9,0.0
1726471500,0.67264,0.6729,0.67259,0.67276,68.0,8,0.0
1726471800,0.67275,0.67276,0.67254,0.67268,68.0,9,0.0
1726472100,0.67267,0.67272,0.67255,0.67265,54.0,8,0.0
1726472400,0.67265,0.6727,0.67254,0.67254,57.0,9,0.0
1726472700,0.67254,0.67268,0.67254,0.67266,69.0,9,0.0
1726473000,0.67266,0.67275,0.67265,0.67275,43.0,9,0.0
1726473300,0.67277,0.67277,0.6727,0.6727,36.0,9,0.0
1726473600,0.6727,0.67271,0.67256,0.67268,92.0,6,0.0
1726473900,0.67268,0.67272,0.67262,0.67263,44.0,9,0.0
1726474200,0.67265,0.67269,0.67253,0.6726,64.0,8,0.0
1726474500,0.6726,0.67262,0.67251,0.6726,38.0,8,0.0
1726474800,0.67259,0.67266,0.67256,0.67257,64.0,8,0.0
1726475100,0.67257,0.67258,0.67246,0.67254,63.0,8,0.0
1726475400,0.67253,0.67253,0.67238,0.67242,58.0,8,0.0
1726475700,0.67241,0.67246,0.67232,0.67246,69.0,8,0.0
1726476000,0.67248,0.67249,0.67237,0.67247,82.0,8,0.0
1726476300,0.67247,0.67275,0.67247,0.67274,62.0,8,0.0
1726476600,0.67274,0.67274,0.67251,0.67258,63.0,8,0.0
1726476900,0.67258,0.67272,0.67254,0.67266,91.0,8,0.0
1726477200,0.67267,0.67267,0.6725,0.67253,103.0,8,0.0
1726477500,0.67253,0.67273,0.6725,0.67252,102.0,7,0.0
1726477800,0.67253,0.67253,0.67226,0.67228,103.0,8,0.0
1726478100,0.67227,0.67267,0.67225,0.67257,109.0,8,0.0
1726478400,0.67257,0.67271,0.67246,0.67255,140.0,8,0.0
1726478700,0.67256,0.67258,0.67235,0.67237,108.0,8,0.0
1726479000,0.67236,0.67243,0.67221,0.6724,83.0,8,0.0
1726479300,0.6724,0.67273,0.67236,0.67272,116.0,8,0.0
1726479600,0.67272,0.67272,0.67245,0.67249,159.0,8,0.0
1726479900,0.67249,0.67255,0.67236,0.67254,131.0,8,0.0
1726480200,0.67254,0.67257,0.6724,0.67252,131.0,8,0.0
1726480500,0.67253,0.67268,0.67246,0.67255,140.0,8,0.0
1726480800,0.67256,0.67273,0.6723,0.67236,159.0,8,0.0
1726481100,0.67236,0.67245,0.6721,0.67214,135.0,8,0.0
1726481400,0.67215,0.67226,0.67212,0.67224,139.0,8,0.0
