time,open,high,low,close,tick_volume,spread,real_volume
1726630260,1.11234,1.11234,1.11226,1.11228,17.0,4,0.0
1726630320,1.11231,1.11232,1.11227,1.11227,11.0,4,0.0
1726630380,1.11227,1.11237,1.11227,1.11236,17.0,4,0.0
1726630440,1.11236,1.11236,1.11231,1.11235,10.0,4,0.0
1726630500,1.11235,1.11237,1.11226,1.1123,19.0,4,0.0
1726630560,1.1123,1.11233,1.11227,1.11232,10.0,4,0.0
1726630620,1.11232,1.11236,1.11231,1.11232,9.0,4,0.0
1726630680,1.11232,1.11232,1.11229,1.1123,13.0,4,0.0
1726630740,1.1123,1.11232,1.11229,1.1123,14.0,4,0.0
1726630800,1.1123,1.11231,1.11226,1.11226,14.0,4,0.0
1726630860,1.11225,1.11226,1.11224,1.11226,8.0,4,0.0
1726630920,1.11226,1.11229,1.11223,1.11226,14.0,4,0.0
1726630980,1.11225,1.11227,1.11221,1.11223,23.0,4,0.0
1726631040,1.11223,1.11231,1.11222,1.11227,15.0,4,0.0
1726631100,1.11227,1.11228,1.11222,1.11222,11.0,4,0.0
1726631160,1.11222,1.11228,1.1122,1.11226,15.0,4,0.0
1726631220,1.11226,1.11233,1.11226,1.11231,8.0,4,0.0
1726631280,1.11233,1.11233,1.11226,1.11229,18.0,4,0.0
1726631340,1.11228,1.11229,1.11226,1.11227,17.0,4,0.0
1726631400,1.11227,1.11229,1.11221,1.11224,28.0,4,0.0
1726631460,1.11224,1.11225,1.11222,1.11224,12.0,4,0.0
1726631520,1.11224,1.11255,1.11224,1.11255,37.0,4,0.0
1726631580,1.11255,1.11272,1.11255,1.11272,43.0,4,0.0
1726631640,1.11272,1.11284,1.1127,1.11279,40.0,4,0.0
1726631700,1.11282,1.11282,1.11265,1.11266,35.0,4,0.0
1726631760,1.11267,1.11279,1.11266,1.11278,27.0,4,0.0
1726631820,1.11278,1.11279,1.11273,1.11274,31.0,4,0.0
1726631880,1.11274,1.11276,1.11264,1.11264,29.0,4,0.0
1726631940,1.11264,1.11269,1.11258,1.11268,26.0,4,0.0
1726632000,1.11269,1.11284,1.11269,1.11284,37.0,4,0.0
1726632060,1.11284,1.11285,1.11273,1.11278,26.0,4,0.0
1726632120,1.11278,1.11284,1.11277,1.11281,22.0,4,0.0
1726632180,1.11279,1.11285,1.11278,1.1128,19.0,4,0.0
1726632240,1.11279,1.11285,1.11273,1.11273,14.0,4,0.0
1726632300,1.11273,1.11279,1.11273,1.11274,21.0,4,0.0
