time,open,high,low,close,tick_volume,spread,real_volume
1726259100,1.31309,1.3133,1.31303,1.31309,117.0,6,0.0
1726259400,1.31311,1.31321,1.31285,1.3129,134.0,6,0.0
1726259700,1.3129,1.313,1.31285,1.3129,77.0,6,0.0
1726260000,1.3129,1.31298,1.31272,1.31278,170.0,6,0.0
1726260300,1.31279,1.31279,1.31245,1.31247,134.0,5,0.0
1726260600,1.31248,1.31262,1.31237,1.3126,103.0,6,0.0
1726260900,1.3126,1.3126,1.31247,1.3125,130.0,6,0.0
1726261200,1.3125,1.3125,1.31219,1.31229,223.0,6,0.0
1726261500,1.31229,1.31277,1.3122,1.31276,217.0,6,0.0
1726261800,1.31276,1.31279,1.31252,1.31261,131.0,6,0.0
1726262100,1.31261,1.31272,1.31256,1.31264,120.0,6,0.0
1726262400,1.31264,1.3127,1.31253,1.31253,199.0,6,0.0
1726262700,1.31253,1.31253,1.31222,1.31249,169.0,5,0.0
1726263000,1.31249,1.31251,1.31239,1.31239,120.0,5,0.0
1726263300,1.3124,1.31242,1.31201,1.31202,111.0,6,0.0
1726263600,1.31202,1.31241,1.31201,1.3122,167.0,6,0.0
1726263900,1.3122,1.31235,1.31209,1.31221,158.0,6,0.0
1726264200,1.3122,1.31222,1.31182,1.31189,175.0,4,0.0
1726264500,1.31188,1.31204,1.31179,1.31199,169.0,6,0.0
1726264800,1.31195,1.31208,1.31174,1.31179,197.0,6,0.0
1726265100,1.3118,1.31206,1.31178,1.31188,198.0,6,0.0
1726265400,1.31188,1.3121,1.31182,1.31209,188.0,6,0.0
1726265700,1.3121,1.31237,1.3121,1.31227,213.0,6,0.0
1726266000,1.31227,1.31252,1.31227,1.31249,199.0,6,0.0
1726266300,1.31249,1.31262,1.31247,1.31253,157.0,6,0.0
1726266600,1.31256,1.3126,1.31235,1.3126,205.0,5,0.0
1726266900,1.31261,1.31261,1.31229,1.31246,192.0,5,0.0
1726267200,1.31247,1.31249,1.31223,1.31229,160.0,6,0.0
1726267500,1.31228,1.31238,1.31216,1.3123,153.0,6,0.0
1726267800,1.3123,1.31241,1.31228,1.31229,139.0,6,0.0
1726268100,1.31229,1.31246,1.3122,1.3124,129.0,6,0.0
1726268400,1.31241,1.31257,1.31234,1.31256,179.0,6,0.0
1726268700,1.31257,1.31262,1.31232,1.31238,188.0,6,0.0
1726269000,1.31246,1.3125,1.31235,1.31238,171.0,6,0.0
1726269300,1.31238,1.31256,1.31232,1.31255,119.0,6,0.0
1726269600,1.31255,1.31265,1.31255,1.31259,77.0,6,0.0
1726269900,1.31259,1.31268,1.31249,1.3125,41.0,6,0.0
1726270200,1.31256,1.31258,1.31249,1.31249,45.0,6,0.0
1726270500,1.31249,1.31249,1.31233,1.31246,54.0,6,0.0
1726270800,1.31245,1.31259,1.31243,1.31247,61.0,6,0.0
1726271100,1.31247,1.31268,1.31223,1.31234,106.0,6,0.0
1726271400,1.31235,1.31247,1.31224,1.31235,127.0,6,0.0
1726271700,1.31231,1.31239,1.31196,1.31212,494.0,9,0.0
1726444800,1.3125,1.3125,1.31167,1.3121,14.0,60,0.0
1726445100,1.31201,1.31219,1.31171,1.31193,17.0,67,0.0
1726445400,1.31192,1.31208,1.31172,1.31177,29.0,60,0.0
1726445700,1.31177,1.31196,1.31177,1.31191,31.0,59,0.0
1726446000,1.31181,1.31191,1.31181,1.31191,24.0,69,0.0
1726446300,1.31191,1.31192,1.31179,1.31192,24.0,69,0.0
1726446600,1.31192,1.31194,1.31178,1.31189,30.0,69,0.0
1726446900,1.31177,1.31189,1.31177,1.3118,27.0,69,0.0
1726447200,1.31189,1.31191,1.31179,1.3119,30.0,67,0.0
1726447500,1.31189,1.31189,1.3118,1.31187,30.0,59,0.0
1726447800,1.31187,1.31191,1.3118,1.31191,27.0,66,0.0
1726448100,1.31188,1.31201,1.31179,1.31201,44.0,53,0.0
1726448400,1.31204,1.31317,1.31193,1.31297,92.0,7,0.0
1726448700,1.31297,1.31311,1.31288,1.31288,25.0,6,0.0
1726449000,1.3129,1.31291,1.31266,1.31271,25.0,4,0.0
1726449300,1.3127,1.31279,1.31266,1.31278,60.0,5,0.0
1726449600,1.31278,1.3128,1.31265,1.31268,41.0,6,0.0
1726449900,1.31268,1.31294,1.31268,1.31293,107.0,6,0.0
1726450200,1.31293,1.3132,1.31293,1.31314,98.0,6,0.0
1726450500,1.31314,1.31314,1.31292,1.31304,79.0,6,0.0
1726450800,1.31303,1.31333,1.31302,1.3133,91.0,6,0.0
1726451100,1.31331,1.31332,1.31313,1.3132,99.0,6,0.0
1726451400,1.3132,1.31324,1.31314,1.31321,72.0,4,0.0
1726451700,1.3132,1.31345,1.3132,1.3133,73.0,6,0.0
1726452000,1.3133,1.31331,1.31306,1.3133,94.0,3,0.0
1726452300,1.3133,1.31333,1.31325,1.3133,51.0,6,0.0
1726452600,1.31331,1.31331,1.31318,1.31321,70.0,3,0.0
1726452900,1.31321,1.31341,1.31321,1.3134,52.0,3,0.0
1726453200,1.31341,1.31342,1.31332,1.31332,44.0,6,0.0
1726453500,1.31332,1.31339,1.3133,1.31336,20.0,5,0.0
1726453800,1.31336,1.31346,1.31333,1.31345,64.0,3,0.0
1726454100,1.31345,1.31358,1.31345,1.31358,23.0,3,0.0
1726454400,1.31357,1.31363,1.31346,1.31363,41.0,6,0.0
1726454700,1.31363,1.31366,1.31347,1.31351,71.0,4,0.0
1726455000,1.31351,1.31357,1.31349,1.3135,68.0,4,0.0
1726455300,1.31349,1.31364,1.31344,1.3135,85.0,6,0.0
1726455600,1.3135,1.31389,1.31349,1.3137,162.0,6,0.0
1726455900,1.3137,1.31389,1.3137,1.3138,87.0,6,0.0
1726456200,1.3138,1.31384,1.3137,1.3138,75.0,3,0.0
1726456500,1.31381,1.31389,1.31379,1.31389,61.0,6,0.0
1726456800,1.31389,1.31401,1.31389,1.3139,72.0,6,0.0
1726457100,1.3139,1.31402,1.31383,1.31402,87.0,6,0.0
1726457400,1.31403,1.31413,1.314,1.31411,95.0,5,0.0
1726457700,1.31411,1.31428,1.31401,1.31428,67.0,4,0.0
1726458000,1.3143,1.31431,1.31417,1.3142,89.0,4,0.0
1726458300,1.3142,1.3143,1.31411,1.31427,80.0,4,0.0
1726458600,1.31427,1.31431,1.31415,1.31421,104.0,5,0.0
1726458900,1.31422,1.31424,1.31408,1.31408,120.0,5,0.0
1726459200,1.31405,1.31433,1.31402,1.31426,112.0,4,0.0
1726459500,1.31426,1.31428,1.31393,1.31394,68.0,6,0.0
1726459800,1.31398,1.31411,1.31386,1.31411,72.0,6,0.0
1726460100,1.31411,1.31411,1.3139,1.314,66.0,6,0.0
1726460400,1.314,1.31405,1.3139,1.31405,79.0,4,0.0
1726460700,1.31405,1.31425,1.31404,1.31421,83.0,4,0.0
1726461000,1.31422,1.3144,1.3141,1.3142,115.0,6,0.0
1726461300,1.3142,1.31422,1.31402,1.31418,136.0,6,0.0
1726461600,1.31417,1.31419,1.31399,1.31409,95.0,5,0.0
1726461900,1.31409,1.3143,1.31403,1.3143,93.0,4,0.0
1726462200,1.3143,1.3143,1.31402,1.31413,91.0,6,0.0
1726462500,1.31413,1.31427,1.31396,1.314,107.0,3,0.0
1726462800,1.314,1.31406,1.3139,1.31395,68.0,5,0.0
1726463100,1.31394,1.31399,1.3138,1.31393,71.0,5,0.0
1726463400,1.31393,1.31401,1.31392,1.31394,39.0,6,0.0
1726463700,1.31394,1.3142,1.31389,1.3142,50.0,4,0.0
1726464000,1.3142,1.31435,1.31407,1.31423,77.0,2,0.0
1726464300,1.31423,1.3143,1.31414,1.31426,76.0,6,0.0
1726464600,1.31425,1.31429,1.31402,1.31407,55.0,6,0.0
1726464900,1.31405,1.31412,1.31399,1.31404,65.0,4,0.0
1726465200,1.31404,1.3142,1.31399,1.3142,100.0,6,0.0
1726465500,1.3142,1.31463,1.31418,1.31461,102.0,6,0.0
1726465800,1.3146,1.31475,1.31452,1.31461,76.0,5,0.0
1726466100,1.31461,1.31461,1.31444,1.31449,80.0,3,0.0
1726466400,1.31448,1.31452,1.3144,1.31442,58.0,5,0.0
1726466700,1.31442,1.31446,1.3143,1.31446,63.0,4,0.0
1726467000,1.31445,1.3147,1.31444,1.31464,65.0,3,0.0
1726467300,1.31464,1.31484,1.31462,1.31484,81.0,3,0.0
1726467600,1.31483,1.31501,1.3148,1.31495,70.0,5,0.0
1726467900,1.31495,1.31526,1.31491,1.31521,126.0,4,0.0
1726468200,1.31522,1.31563,1.31522,1.31542,126.0,3,0.0
1726468500,1.31542,1.31559,1.3153,1.31551,148.0,5,0.0
1726468800,1.31551,1.31577,1.3155,1.31566,95.0,6,0.0
1726469100,1.31566,1.3161,1.3156,1.31601,126.0,6,0.0
1726469400,1.31602,1.31622,1.31583,1.31612,130.0,6,0.0
1726469700,1.3161,1.3163,1.31596,1.31598,120.0,6,0.0
1726470000,1.31598,1.31601,1.31587,1.31598,41.0,6,0.0
1726470300,1.31599,1.31599,1.31578,1.31597,46.0,6,0.0
1726470600,1.31597,1.31607,1.31588,1.31597,46.0,6,0.0
1726470900,1.31597,1.316,1.31577,1.31577,26.0,6,0.0
1726471200,1.31577,1.31578,1.31555,1.31557,30.0,6,0.0
1726471500,1.31557,1.31568,1.31556,1.3156,55.0,6,0.0
1726471800,1.3156,1.31561,1.31539,1.31555,45.0,6,0.0
1726472100,1.31555,1.31569,1.31538,1.31539,91.0,6,0.0
1726472400,1.31539,1.31548,1.31527,1.31539,81.0,6,0.0
1726472700,1.31542,1.31551,1.31536,1.3155,75.0,5,0.0
1726473000,1.3155,1.3155,1.31531,1.31548,57.0,5,0.0
1726473300,1.31548,1.3155,1.31529,1.3153,79.0,6,0.0
1726473600,1.3153,1.31552,1.31528,1.3155,74.0,6,0.0
1726473900,1.3155,1.31559,1.31544,1.31544,58.0,6,0.0
1726474200,1.31544,1.31546,1.31523,1.31529,79.0,6,0.0
1726474500,1.31529,1.31531,1.31527,1.3153,49.0,6,0.0
1726474800,1.3153,1.31545,1.3153,1.31544,43.0,6,0.0
1726475100,1.31544,1.31544,1.31537,1.3154,50.0,6,0.0
1726475400,1.3154,1.3154,1.31524,1.31538,79.0,6,0.0
1726475700,1.31539,1.31548,1.31537,1.31545,72.0,3,0.0
1726476000,1.31545,1.31559,1.31539,1.31548,55.0,3,0.0
1726476300,1.31549,1.31579,1.31548,1.31577,62.0,3,0.0
1726476600,1.31571,1.31571,1.31548,1.31552,70.0,6,0.0
1726476900,1.31554,1.31569,1.31545,1.31548,112.0,5,0.0
1726477200,1.31555,1.31586,1.31549,1.31585,169.0,3,0.0
1726477500,1.31584,1.31609,1.31568,1.31568,165.0,6,0.0
1726477800,1.31569,1.31569,1.31547,1.31562,131.0,6,0.0
1726478100,1.31562,1.31611,1.31557,1.316,132.0,6,0.0
1726478400,1.31599,1.31612,1.3158,1.31596,161.0,6,0.0
1726478700,1.31596,1.31616,1.31577,1.3159,119.0,6,0.0
1726479000,1.3159,1.31609,1.3157,1.31602,174.0,6,0.0
1726479300,1.31602,1.31641,1.31599,1.31629,162.0,6,0.0
1726479600,1.31629,1.31651,1.3162,1.3164,172.0,6,0.0
1726479900,1.3164,1.31668,1.31625,1.3166,155.0,3,0.0
1726480200,1.31661,1.31703,1.31659,1.31699,158.0,5,0.0
1726480500,1.31699,1.31703,1.31669,1.31688,156.0,6,0.0
1726480800,1.31679,1.31679,1.31622,1.31637,189.0,6,0.0
1726481100,1.31637,1.31657,1.31616,1.31627,194.0,6,0.0
1726481400,1.31627,1.31639,1.31599,1.31606,165.0,4,0.0
1726481700,1.31608,1.31617,1.31585,1.31601,148.0,6,0.0
1726482000,1.31604,1.31609,1.31592,1.31606,126.0,6,0.0
1726482300,1.31606,1.3163,1.31589,1.31619,135.0,6,0.0
1726482600,1.3162,1.31692,1.3162,1.31692,167.0,6,0.0
1726482900,1.3169,1.31735,1.31688,1.31721,132.0,6,0.0
1726483200,1.31718,1.3173,1.31681,1.31729,148.0,6,0.0
1726483500,1.31729,1.31735,1.31697,1.31732,151.0,3,0.0
1726483800,1.31731,1.31736,1.31693,1.3173,149.0,6,0.0
1726484100,1.31735,1.31735,1.31685,1.31706,210.0,6,0.0
1726484400,1.31707,1.31735,1.31693,1.31727,177.0,6,0.0
1726484700,1.31728,1.31745,1.31712,1.31741,168.0,6,0.0
1726485000,1.3175,1.31772,1.31722,1.31763,182.0,6,0.0
1726485300,1.31762,1.318,1.31757,1.31792,184.0,6,0.0
1726485600,1.31792,1.31827,1.31778,1.31818,149.0,6,0.0
1726485900,1.31818,1.31819,1.31791,1.3181,160.0,4,0.0
1726486200,1.3181,1.31844,1.31803,1.31808,185.0,3,0.0
1726486500,1.31809,1.31811,1.31778,1.31781,153.0,6,0.0
1726486800,1.31781,1.3185,1.31781,1.31842,172.0,3,0.0
1726487100,1.31843,1.31889,1.31819,1.31849,191.0,4,0.0
1726487400,1.31849,1.31871,1.31821,1.31855,182.0,4,0.0
1726487700,1.31855,1.31926,1.3184,1.3188,227.0,3,0.0
1726488000,1.31879,1.31883,1.31822,1.31882,245.0,6,0.0
1726488300,1.31882,1.3193,1.31863,1.31917,203.0,6,0.0
1726488600,1.31918,1.31927,1.31885,1.31887,167.0,6,0.0
1726488900,1.31887,1.31887,1.31847,1.31886,176.0,5,0.0
1726489200,1.31886,1.31911,1.31864,1.31909,138.0,6,0.0
1726489500,1.31912,1.31949,1.31912,1.31933,162.0,2,0.0
1726489800,1.31932,1.31946,1.3188,1.31882,120.0,2,0.0
1726490100,1.31881,1.31889,1.31859,1.31875,124.0,5,0.0
1726490400,1.31877,1.31893,1.3184,1.31856,144.0,6,0.0
1726490700,1.31857,1.31873,1.31839,1.31868,188.0,6,0.0
1726491000,1.31868,1.31895,1.31848,1.31884,161.0,3,0.0
1726491300,1.31884,1.31898,1.31854,1.31895,131.0,6,0.0
1726491600,1.31895,1.31954,1.31893,1.31945,129.0,6,0.0
1726491900,1.31946,1.31975,1.31942,1.31961,155.0,6,0.0
1726492200,1.31961,1.31985,1.31951,1.31965,122.0,6,0.0
1726492500,1.31964,1.32,1.31964,1.31993,110.0,5,0.0
1726492800,1.31994,1.3201,1.31988,1.3201,135.0,6,0.0
1726493100,1.32009,1.3202,1.31981,1.3201,141.0,6,0.0
1726493400,1.32011,1.32035,1.31993,1.32001,130.0,6,0.0
1726493700,1.32001,1.32015,1.31973,1.31979,180.0,6,0.0
1726494000,1.31977,1.32004,1.31963,1.31995,154.0,6,0.0
