time,open,high,low,close,tick_volume,spread,real_volume
1726551720,0.61941,0.61946,0.61935,0.61937,21.0,11,0.0
1726551780,0.61936,0.61946,0.61936,0.61945,14.0,12,0.0
1726551840,0.61945,0.61946,0.6194,0.61941,6.0,12,0.0
1726551900,0.61941,0.61941,0.61935,0.6194,8.0,12,0.0
1726551960,0.6194,0.6194,0.61933,0.61935,10.0,12,0.0
1726552020,0.61935,0.61935,0.61929,0.6193,10.0,12,0.0
1726552080,0.6193,0.61931,0.61929,0.6193,9.0,12,0.0
1726552140,0.6193,0.61945,0.61929,0.61943,19.0,12,0.0
1726552200,0.61943,0.61951,0.61942,0.6195,6.0,12,0.0
1726552260,0.6195,0.6195,0.61945,0.61946,5.0,12,0.0
1726552320,0.61946,0.61956,0.61946,0.61956,9.0,12,0.0
1726552380,0.61956,0.61956,0.61954,0.61955,15.0,12,0.0
1726552440,0.61956,0.61956,0.6195,0.61951,13.0,12,0.0
1726552500,0.61951,0.61961,0.61951,0.61959,18.0,12,0.0
1726552560,0.61958,0.61958,0.61945,0.61948,13.0,12,0.0
1726552620,0.61949,0.6195,0.61948,0.61949,7.0,12,0.0
1726552680,0.61949,0.6195,0.61941,0.6195,21.0,12,0.0
1726552740,0.61949,0.61952,0.61942,0.61942,24.0,12,0.0
1726552800,0.61941,0.61941,0.61923,0.61928,31.0,11,0.0
1726552860,0.61929,0.61942,0.61929,0.61937,22.0,11,0.0
1726552920,0.61938,0.6194,0.61929,0.61932,21.0,12,0.0
1726552980,0.61933,0.61936,0.61929,0.61929,20.0,12,0.0
1726553040,0.61929,0.6193,0.61926,0.61926,14.0,12,0.0
1726553100,0.61926,0.61926,0.61916,0.61916,23.0,12,0.0
1726553160,0.61916,0.61916,0.61906,0.61906,14.0,10,0.0
1726553220,0.61905,0.61907,0.619,0.61905,16.0,12,0.0
1726553280,0.61905,0.61905,0.619,0.619,20.0,12,0.0
1726553340,0.61899,0.61905,0.61899,0.61902,15.0,12,0.0
1726553400,0.61903,0.61907,0.61897,0.61906,22.0,12,0.0
1726553460,0.61907,0.61918,0.61906,0.61918,23.0,12,0.0
1726553520,0.61918,0.61918,0.61908,0.6191,25.0,12,0.0
1726553580,0.6191,0.6191,0.61903,0.61904,15.0,12,0.0
1726553640,0.61902,0.61902,0.61896,0.61897,11.0,12,0.0
1726553700,0.61897,0.619,0.61897,0.61898,11.0,12,0.0
1726553760,0.61896,0.61902,0.61896,0.61901,21.0,12,0.0
1726553820,0.61901,0.61906,0.619,0.619,11.0,12,0.0
1726553880,0.619,0.619,0.61895,0.61897,17.0,12,0.0
1726553940,0.61896,0.61906,0.61896,0.61903,15.0,12,0.0
1726554000,0.61902,0.6191,0.61902,0.61909,13.0,12,0.0
1726554060,0.6191,0.61914,0.61908,0.61912,15.0,12,0.0
1726554120,0.61912,0.61915,0.61909,0.61914,15.0,12,0.0
1726554180,0.61915,0.61916,0.61911,0.61914,20.0,12,0.0
1726554240,0.61913,0.61915,0.61907,0.61915,8.0,12,0.0
1726554300,0.61918,0.61918,0.61914,0.61916,11.0,12,0.0
1726554360,0.61916,0.61916,0.61912,0.61913,11.0,12,0.0
1726554420,0.61913,0.61913,0.61909,0.61913,10.0,12,0.0
1726554480,0.61913,0.61923,0.61913,0.61923,10.0,12,0.0
1726554540,0.61923,0.61924,0.61916,0.61918,15.0,12,0.0
1726554600,0.61918,0.61919,0.61908,0.61911,19.0,12,0.0
1726554660,0.6191,0.61916,0.6191,0.61912,12.0,12,0.0
1726554720,0.61915,0.61918,0.61913,0.61918,11.0,12,0.0
1726554780,0.6192,0.61921,0.61917,0.61918,12.0,12,0.0
1726554840,0.61918,0.61919,0.61916,0.61917,13.0,12,0.0
1726554900,0.61918,0.61927,0.61917,0.61926,12.0,12,0.0
1726554960,0.61925,0.61927,0.61921,0.61924,8.0,12,0.0
1726555020,0.61924,0.61924,0.61918,0.61919,9.0,12,0.0
1726555080,0.6192,0.6192,0.61915,0.61916,10.0,12,0.0
1726555140,0.61916,0.61917,0.61915,0.61916,8.0,12,0.0
1726555200,0.61916,0.61917,0.61914,0.61914,8.0,12,0.0
1726555260,0.61914,0.61916,0.61907,0.61911,17.0,12,0.0
1726555320,0.61911,0.61911,0.619,0.61901,15.0,11,0.0
1726555380,0.61901,0.61902,0.61893,0.61894,12.0,12,0.0
1726555440,0.61893,0.61893,0.61889,0.61891,8.0,12,0.0
1726555500,0.61891,0.61897,0.6189,0.61896,10.0,12,0.0
1726555560,0.61897,0.61901,0.61897,0.619,9.0,12,0.0
1726555620,0.619,0.61901,0.61899,0.61899,15.0,12,0.0
1726555680,0.61899,0.619,0.61897,0.619,9.0,12,0.0
1726555740,0.61899,0.61901,0.61899,0.619,18.0,12,0.0
1726555800,0.61901,0.61901,0.6189,0.61894,19.0,12,0.0
1726555860,0.61893,0.61895,0.61891,0.61891,9.0,12,0.0
1726555920,0.61891,0.61892,0.61887,0.61888,16.0,12,0.0
1726555980,0.61887,0.61889,0.61883,0.61883,13.0,12,0.0
1726556040,0.61883,0.61893,0.61883,0.61893,13.0,12,0.0
1726556100,0.61895,0.61901,0.61893,0.619,14.0,12,0.0
1726556160,0.61901,0.61906,0.61898,0.61906,15.0,12,0.0
1726556220,0.61905,0.61905,0.61899,0.61899,12.0,12,0.0
1726556280,0.61899,0.619,0.61892,0.61893,10.0,12,0.0
1726556340,0.61893,0.61895,0.6189,0.61894,15.0,12,0.0
1726556400,0.61893,0.61893,0.61889,0.61889,18.0,11,0.0
1726556460,0.61889,0.61892,0.61886,0.61891,17.0,12,0.0
1726556520,0.61886,0.61891,0.61881,0.61881,15.0,12,0.0
1726556580,0.61882,0.61887,0.61882,0.61887,6.0,12,0.0
1726556640,0.61887,0.61887,0.6188,0.6188,20.0,12,0.0
1726556700,0.61881,0.61887,0.61881,0.61886,15.0,12,0.0
1726556760,0.61886,0.61888,0.61886,0.61887,8.0,12,0.0
1726556820,0.61887,0.61891,0.61886,0.6189,9.0,12,0.0
1726556880,0.6189,0.61892,0.61884,0.61887,13.0,12,0.0
1726556940,0.61887,0.61887,0.61886,0.61886,6.0,12,0.0
1726557000,0.61886,0.61887,0.61883,0.61886,13.0,12,0.0
1726557060,0.61886,0.61886,0.61877,0.61877,11.0,12,0.0
1726557120,0.61873,0.6188,0.61871,0.6188,20.0,12,0.0
1726557180,0.61879,0.61881,0.61878,0.61878,10.0,12,0.0
1726557240,0.61878,0.6188,0.61875,0.6188,6.0,12,0.0
1726557300,0.61881,0.61881,0.61876,0.61876,4.0,12,0.0
1726557360,0.61876,0.61877,0.61874,0.61874,6.0,12,0.0
1726557420,0.61875,0.61877,0.61874,0.61874,9.0,11,0.0
1726557480,0.61875,0.61875,0.6187,0.61871,15.0,11,0.0
1726557540,0.61872,0.61879,0.61871,0.61877,18.0,10,0.0
1726557600,0.61877,0.61879,0.61871,0.61871,11.0,12,0.0
1726557660,0.61871,0.61872,0.61866,0.61869,18.0,12,0.0
1726557720,0.61869,0.61872,0.61869,0.61869,8.0,12,0.0
1726557780,0.61869,0.6187,0.61867,0.6187,14.0,12,0.0
1726557840,0.6187,0.61876,0.6187,0.61876,11.0,12,0.0
1726557900,0.61877,0.61886,0.61876,0.61881,12.0,12,0.0
1726557960,0.61881,0.61882,0.61872,0.61872,17.0,12,0.0
1726558020,0.61871,0.61876,0.61871,0.61876,11.0,12,0.0
1726558080,0.61878,0.6188,0.61877,0.61879,12.0,12,0.0
1726558140,0.61879,0.6188,0.61878,0.61879,9.0,12,0.0
1726558200,0.61879,0.61881,0.61879,0.6188,6.0,12,0.0
1726558260,0.61881,0.61882,0.6188,0.61881,11.0,12,0.0
1726558320,0.61881,0.61881,0.61881,0.61881,1.0,12,0.0
1726558380,0.61881,0.61886,0.61879,0.61886,8.0,12,0.0
1726558440,0.61886,0.61887,0.61884,0.61884,7.0,12,0.0
1726558500,0.61885,0.61887,0.61884,0.61887,5.0,12,0.0
1726558560,0.61886,0.61887,0.61886,0.61887,16.0,12,0.0
1726558620,0.61887,0.61892,0.61887,0.61891,8.0,12,0.0
1726558680,0.6189,0.61894,0.6189,0.61891,6.0,12,0.0
1726558740,0.6189,0.6189,0.61881,0.61882,7.0,12,0.0
1726558800,0.61881,0.61882,0.6188,0.61881,13.0,12,0.0
1726558860,0.61881,0.61883,0.61876,0.61882,13.0,12,0.0
1726558920,0.61883,0.61887,0.61879,0.61884,9.0,12,0.0
1726558980,0.61884,0.61887,0.61884,0.61887,12.0,12,0.0
1726559040,0.61887,0.61887,0.61886,0.61886,12.0,12,0.0
1726559100,0.61887,0.61892,0.61887,0.6189,9.0,12,0.0
1726559160,0.61889,0.61889,0.61879,0.61881,16.0,12,0.0
1726559220,0.6188,0.61881,0.6187,0.61871,11.0,12,0.0
1726559280,0.61872,0.61876,0.61872,0.61874,16.0,12,0.0
1726559340,0.61875,0.61876,0.61871,0.61875,18.0,7,0.0
1726559400,0.61874,0.61874,0.61871,0.61872,10.0,12,0.0
1726559460,0.61872,0.61877,0.61872,0.61876,5.0,12,0.0
1726559520,0.61877,0.61878,0.61876,0.61878,12.0,12,0.0
1726559580,0.61879,0.61881,0.61868,0.61872,18.0,12,0.0
1726559640,0.61872,0.61874,0.61871,0.61871,8.0,12,0.0
1726559700,0.61869,0.61869,0.61864,0.61865,10.0,12,0.0
1726559760,0.61865,0.61865,0.61863,0.61864,6.0,12,0.0
1726559820,0.61866,0.61873,0.61865,0.61872,8.0,10,0.0
1726559880,0.61876,0.61887,0.61876,0.61881,15.0,12,0.0
1726559940,0.61881,0.61883,0.61879,0.61883,21.0,12,0.0
1726560000,0.61883,0.6189,0.61883,0.6189,15.0,12,0.0
1726560060,0.61891,0.61891,0.61882,0.61882,13.0,12,0.0
1726560120,0.61882,0.61883,0.61878,0.61879,16.0,12,0.0
1726560180,0.61879,0.61883,0.61876,0.61878,22.0,12,0.0
1726560240,0.61877,0.61881,0.61876,0.61876,20.0,12,0.0
1726560300,0.61875,0.61879,0.61875,0.61878,7.0,12,0.0
1726560360,0.61879,0.61881,0.61876,0.6188,12.0,12,0.0
1726560420,0.6188,0.61881,0.61877,0.61877,12.0,12,0.0
1726560480,0.61878,0.61884,0.61878,0.61884,11.0,12,0.0
1726560540,0.61884,0.61886,0.61881,0.61886,13.0,12,0.0
1726560600,0.61887,0.61888,0.61879,0.61881,12.0,12,0.0
1726560660,0.61882,0.61885,0.61879,0.61883,15.0,11,0.0
1726560720,0.61882,0.61886,0.61882,0.61884,17.0,12,0.0
1726560780,0.61882,0.61883,0.61878,0.61879,20.0,12,0.0
1726560840,0.61878,0.61882,0.61877,0.61882,16.0,12,0.0
1726560900,0.61882,0.61882,0.61877,0.61877,12.0,12,0.0
1726560960,0.6188,0.61883,0.61878,0.61882,16.0,12,0.0
1726561020,0.61876,0.61886,0.61876,0.61886,9.0,11,0.0
1726561080,0.61888,0.61888,0.61885,0.61886,7.0,12,0.0
1726561140,0.61889,0.61892,0.61886,0.61887,11.0,12,0.0
1726561200,0.61887,0.61888,0.61887,0.61888,10.0,12,0.0
1726561260,0.61889,0.61892,0.61886,0.61891,9.0,12,0.0
1726561320,0.6189,0.61892,0.61889,0.61891,15.0,11,0.0
1726561380,0.61891,0.61892,0.6189,0.6189,12.0,12,0.0
1726561440,0.6189,0.61905,0.6189,0.61905,14.0,12,0.0
1726561500,0.61906,0.61908,0.61893,0.61898,18.0,12,0.0
1726561560,0.61898,0.61898,0.61896,0.61898,7.0,12,0.0
1726561620,0.61898,0.61898,0.61891,0.61891,9.0,7,0.0
1726561680,0.61892,0.61893,0.61891,0.61891,8.0,12,0.0
1726561740,0.6189,0.61892,0.61886,0.61886,4.0,10,0.0
1726561800,0.61884,0.61892,0.61884,0.61885,11.0,12,0.0
1726561860,0.61885,0.61887,0.61884,0.61886,13.0,12,0.0
1726561920,0.61886,0.61889,0.61879,0.61883,17.0,12,0.0
1726561980,0.61884,0.61887,0.61882,0.61886,17.0,11,0.0
1726562040,0.61886,0.61886,0.61882,0.61882,6.0,12,0.0
1726562100,0.61882,0.61882,0.61872,0.61872,14.0,12,0.0
1726562160,0.61873,0.61876,0.6187,0.6187,11.0,12,0.0
1726562220,0.6187,0.61875,0.61866,0.61875,23.0,11,0.0
1726562280,0.61874,0.61876,0.61873,0.61876,7.0,12,0.0
1726562340,0.61875,0.6188,0.61875,0.61876,15.0,12,0.0
1726562400,0.61876,0.61881,0.61875,0.61881,11.0,12,0.0
1726562460,0.61881,0.61892,0.61881,0.61892,12.0,12,0.0
1726562520,0.61892,0.61901,0.61892,0.619,11.0,12,0.0
1726562580,0.61899,0.61902,0.61898,0.61899,9.0,12,0.0
1726562640,0.619,0.619,0.6189,0.61894,10.0,12,0.0
1726562700,0.61894,0.61894,0.61885,0.61885,8.0,12,0.0
1726562760,0.61886,0.6189,0.61886,0.61888,13.0,12,0.0
1726562820,0.61888,0.61893,0.61888,0.61891,10.0,12,0.0
1726562880,0.61889,0.61892,0.61887,0.6189,15.0,12,0.0
1726562940,0.6189,0.61891,0.61879,0.6188,10.0,12,0.0
1726563000,0.61881,0.61882,0.6188,0.6188,8.0,12,0.0
1726563060,0.6188,0.61886,0.6188,0.61886,14.0,12,0.0
1726563120,0.61886,0.61886,0.61882,0.61882,13.0,12,0.0
1726563180,0.61882,0.61883,0.61881,0.61883,8.0,12,0.0
1726563240,0.61883,0.61884,0.61865,0.61865,23.0,12,0.0
1726563300,0.61865,0.61865,0.61859,0.61859,19.0,12,0.0
1726563360,0.6186,0.61863,0.6186,0.61862,11.0,12,0.0
1726563420,0.61861,0.61862,0.61855,0.61856,8.0,12,0.0
1726563480,0.61855,0.61865,0.61855,0.61856,10.0,11,0.0
1726563540,0.61857,0.61858,0.61853,0.61855,13.0,11,0.0
1726563600,0.61853,0.61859,0.61852,0.61855,24.0,12,0.0
1726563660,0.61856,0.61856,0.61852,0.61854,19.0,11,0.0
1726563720,0.61854,0.61861,0.61854,0.61855,14.0,12,0.0
1726563780,0.61858,0.6189,0.61858,0.61889,24.0,12,0.0
1726563840,0.61891,0.61891,0.61879,0.61882,20.0,11,0.0
1726563900,0.61885,0.61886,0.61879,0.6188,29.0,11,0.0
1726563960,0.6188,0.61892,0.6188,0.61892,22.0,11,0.0
1726564020,0.61891,0.61899,0.6189,0.61899,25.0,11,0.0
1726564080,0.619,0.61931,0.619,0.6193,31.0,11,0.0
1726564140,0.6193,0.6193,0.61913,0.61917,25.0,11,0.0
1726564200,0.61916,0.61923,0.61913,0.61923,25.0,11,0.0
1726564260,0.61922,0.6193,0.61918,0.6192,23.0,11,0.0
1726564320,0.61919,0.61934,0.61918,0.61929,30.0,10,0.0
1726564380,0.61928,0.6194,0.61928,0.61938,24.0,11,0.0
