time,open,high,low,close,tick_volume,spread,real_volume
1726551720,1.35904,1.35904,1.35898,1.35901,11.0,5,0.0
1726551780,1.35901,1.35901,1.359,1.359,14.0,5,0.0
1726551840,1.35901,1.35907,1.359,1.35906,11.0,5,0.0
1726551900,1.35906,1.3591,1.35905,1.35905,11.0,5,0.0
1726551960,1.35909,1.3591,1.35906,1.3591,10.0,5,0.0
1726552020,1.3591,1.35919,1.3591,1.35917,12.0,5,0.0
1726552080,1.35916,1.35918,1.35916,1.35917,12.0,5,0.0
1726552140,1.35919,1.3592,1.35909,1.35909,12.0,5,0.0
1726552200,1.3591,1.3591,1.35907,1.35907,3.0,5,0.0
1726552260,1.35908,1.35913,1.35907,1.35912,8.0,5,0.0
1726552320,1.35911,1.35914,1.35907,1.35908,18.0,5,0.0
1726552380,1.35907,1.3591,1.35907,1.35908,12.0,5,0.0
1726552440,1.35909,1.3591,1.35906,1.35906,8.0,5,0.0
1726552500,1.35905,1.35907,1.35905,1.35906,15.0,5,0.0
1726552560,1.35906,1.35911,1.35906,1.35908,19.0,5,0.0
1726552620,1.35908,1.3591,1.35906,1.35909,29.0,5,0.0
1726552680,1.35908,1.35914,1.35907,1.35909,18.0,5,0.0
1726552740,1.35909,1.35917,1.35908,1.35916,15.0,5,0.0
1726552800,1.35917,1.35923,1.35916,1.35918,29.0,5,0.0
1726552860,1.35917,1.35919,1.35915,1.35918,28.0,5,0.0
1726552920,1.35919,1.35919,1.35915,1.35915,15.0,5,0.0
1726552980,1.35915,1.35918,1.35913,1.35918,17.0,5,0.0
1726553040,1.35919,1.35924,1.35918,1.35923,11.0,5,0.0
1726553100,1.35923,1.35928,1.35922,1.35927,20.0,5,0.0
1726553160,1.35928,1.3593,1.35926,1.35927,23.0,5,0.0
1726553220,1.35927,1.35927,1.35925,1.35925,11.0,5,0.0
1726553280,1.35925,1.35927,1.35925,1.35927,9.0,5,0.0
1726553340,1.35927,1.35927,1.35921,1.35922,15.0,5,0.0
