time,open,high,low,close,tick_volume,spread,real_volume
1726259100,0.84795,0.84819,0.84793,0.84806,154.0,13,0.0
1726259400,0.84806,0.8483,0.84798,0.84827,104.0,13,0.0
1726259700,0.84826,0.84833,0.8481,0.84823,122.0,12,0.0
1726260000,0.84824,0.84838,0.84815,0.8482,136.0,13,0.0
1726260300,0.84818,0.84845,0.84818,0.84837,125.0,13,0.0
1726260600,0.84836,0.84842,0.84829,0.8483,116.0,13,0.0
1726260900,0.84829,0.84829,0.84807,0.84818,156.0,13,0.0
1726261200,0.8482,0.84825,0.84805,0.84814,156.0,13,0.0
1726261500,0.84815,0.84825,0.84807,0.84808,109.0,13,0.0
1726261800,0.8481,0.84815,0.84801,0.84807,95.0,13,0.0
1726262100,0.84807,0.84811,0.84789,0.84801,76.0,13,0.0
1726262400,0.84801,0.84803,0.84778,0.8478,110.0,13,0.0
1726262700,0.84778,0.84794,0.84777,0.84779,172.0,13,0.0
1726263000,0.84777,0.84785,0.84773,0.84784,123.0,13,0.0
1726263300,0.84784,0.84801,0.84784,0.84796,80.0,13,0.0
1726263600,0.84795,0.84808,0.8479,0.84803,127.0,13,0.0
1726263900,0.84808,0.84828,0.84805,0.84828,119.0,12,0.0
1726264200,0.84829,0.84831,0.84817,0.84829,97.0,13,0.0
1726264500,0.84829,0.84832,0.84809,0.84809,130.0,13,0.0
1726264800,0.84809,0.84816,0.84798,0.84816,117.0,13,0.0
1726265100,0.84816,0.84821,0.84798,0.848,104.0,13,0.0
1726265400,0.848,0.84806,0.8479,0.84792,66.0,13,0.0
1726265700,0.84791,0.84795,0.84783,0.84787,128.0,13,0.0
1726266000,0.84788,0.8479,0.84771,0.84777,94.0,13,0.0
1726266300,0.84778,0.84786,0.84778,0.84784,117.0,13,0.0
1726266600,0.84783,0.84796,0.84783,0.84794,78.0,13,0.0
1726266900,0.84795,0.84808,0.84791,0.84807,87.0,13,0.0
1726267200,0.84806,0.84818,0.84806,0.84818,115.0,13,0.0
1726267500,0.84818,0.84825,0.84815,0.84815,129.0,13,0.0
1726267800,0.84815,0.84834,0.84814,0.84827,169.0,13,0.0
1726268100,0.84827,0.84841,0.84819,0.84831,123.0,13,0.0
1726268400,0.8483,0.84849,0.84829,0.84842,100.0,13,0.0
1726268700,0.84841,0.84852,0.8484,0.84847,60.0,9,0.0
1726269000,0.84847,0.84857,0.84847,0.84854,44.0,13,0.0
1726269300,0.84854,0.84857,0.8485,0.84855,41.0,13,0.0
1726269600,0.84855,0.84866,0.84849,0.8486,56.0,11,0.0
1726269900,0.84861,0.84884,0.84851,0.84876,67.0,11,0.0
1726270200,0.84875,0.84893,0.84875,0.84893,10.0,11,0.0
1726270500,0.84892,0.84916,0.84892,0.84892,68.0,11,0.0
1726270800,0.84892,0.84893,0.84882,0.84885,28.0,11,0.0
1726271100,0.84885,0.84938,0.84867,0.84908,94.0,11,0.0
1726271400,0.84908,0.84908,0.84894,0.84898,176.0,11,0.0
1726271700,0.84894,0.84905,0.84886,0.84901,151.0,1,0.0
1726444800,0.84623,0.8464,0.84623,0.84624,6.0,300,0.0
