time,open,high,low,close,tick_volume,spread,real_volume
1726551720,140.404,140.411,140.387,140.405,44.0,4,0.0
1726551780,140.404,140.436,140.403,140.432,50.0,4,0.0
1726551840,140.432,140.45,140.423,140.443,46.0,4,0.0
1726551900,140.441,140.47,140.431,140.466,45.0,4,0.0
1726551960,140.466,140.502,140.462,140.496,40.0,4,0.0
1726552020,140.494,140.506,140.489,140.503,40.0,4,0.0
1726552080,140.503,140.516,140.503,140.513,21.0,4,0.0
1726552140,140.513,140.53,140.509,140.51,51.0,4,0.0
1726552200,140.509,140.524,140.509,140.512,34.0,4,0.0
1726552260,140.513,140.549,140.513,140.541,25.0,4,0.0
1726552320,140.538,140.541,140.511,140.517,44.0,4,0.0
1726552380,140.517,140.547,140.517,140.527,29.0,4,0.0
1726552440,140.527,140.533,140.517,140.53,46.0,4,0.0
1726552500,140.53,140.533,140.51,140.51,22.0,4,0.0
1726552560,140.51,140.548,140.497,140.546,40.0,4,0.0
1726552620,140.547,140.567,140.542,140.567,28.0,4,0.0
1726552680,140.566,140.589,140.558,140.576,57.0,4,0.0
1726552740,140.579,140.58,140.56,140.574,47.0,4,0.0
1726552800,140.574,140.624,140.574,140.614,57.0,4,0.0
1726552860,140.612,140.612,140.58,140.592,43.0,4,0.0
1726552920,140.59,140.595,140.584,140.591,26.0,4,0.0
1726552980,140.591,140.594,140.579,140.594,32.0,5,0.0
1726553040,140.595,140.618,140.583,140.613,31.0,5,0.0
1726553100,140.61,140.644,140.607,140.64,42.0,4,0.0
1726553160,140.64,140.653,140.628,140.632,50.0,4,0.0
1726553220,140.632,140.641,140.623,140.641,27.0,4,0.0
1726553280,140.642,140.653,140.631,140.651,38.0,4,0.0
1726553340,140.652,140.656,140.646,140.653,26.0,4,0.0
1726553400,140.653,140.655,140.647,140.65,39.0,4,0.0
1726553460,140.65,140.654,140.635,140.641,36.0,4,0.0
1726553520,140.641,140.641,140.585,140.585,57.0,4,0.0
1726553580,140.585,140.587,140.579,140.581,36.0,4,0.0
1726553640,140.582,140.59,140.579,140.585,35.0,4,0.0
1726553700,140.586,140.599,140.579,140.599,35.0,4,0.0
1726553760,140.596,140.599,140.576,140.576,40.0,4,0.0
1726553820,140.576,140.576,140.543,140.556,37.0,4,0.0
1726553880,140.555,140.57,140.549,140.551,52.0,4,0.0
1726553940,140.547,140.549,140.511,140.532,53.0,4,0.0
1726554000,140.533,140.533,140.486,140.496,48.0,4,0.0
1726554060,140.496,140.507,140.48,140.5,53.0,4,0.0
1726554120,140.5,140.503,140.487,140.488,31.0,4,0.0
1726554180,140.49,140.491,140.463,140.49,49.0,4,0.0
1726554240,140.49,140.502,140.485,140.485,30.0,4,0.0
1726554300,140.485,140.493,140.477,140.487,32.0,4,0.0
1726554360,140.487,140.514,140.486,140.511,37.0,4,0.0
1726554420,140.515,140.542,140.504,140.535,36.0,4,0.0
1726554480,140.535,140.536,140.521,140.525,29.0,4,0.0
1726554540,140.525,140.534,140.524,140.531,24.0,4,0.0
1726554600,140.531,140.596,140.531,140.586,58.0,4,0.0
1726554660,140.585,140.585,140.553,140.555,51.0,4,0.0
1726554720,140.558,140.578,140.554,140.577,50.0,4,0.0
1726554780,140.584,140.597,140.584,140.59,35.0,4,0.0
1726554840,140.59,140.602,140.586,140.596,42.0,4,0.0
1726554900,140.597,140.598,140.532,140.534,51.0,4,0.0
1726554960,140.533,140.549,140.532,140.539,40.0,4,0.0
1726555020,140.539,140.541,140.504,140.518,52.0,4,0.0
1726555080,140.518,140.529,140.5,140.517,50.0,4,0.0
1726555140,140.518,140.535,140.51,140.535,43.0,4,0.0
1726555200,140.536,140.584,140.536,140.581,38.0,4,0.0
1726555260,140.583,140.583,140.503,140.505,60.0,4,0.0
1726555320,140.504,140.547,140.502,140.545,53.0,4,0.0
1726555380,140.547,140.58,140.544,140.572,65.0,4,0.0
1726555440,140.575,140.596,140.569,140.596,46.0,4,0.0
1726555500,140.595,140.634,140.589,140.616,65.0,4,0.0
1726555560,140.616,140.634,140.609,140.609,48.0,4,0.0
1726555620,140.608,140.608,140.589,140.601,50.0,4,0.0
1726555680,140.603,140.604,140.561,140.566,45.0,4,0.0
1726555740,140.569,140.596,140.559,140.559,42.0,4,0.0
1726555800,140.556,140.629,140.548,140.627,55.0,4,0.0
1726555860,140.627,140.637,140.601,140.601,43.0,4,0.0
1726555920,140.603,140.627,140.595,140.6,53.0,4,0.0
1726555980,140.6,140.605,140.586,140.605,38.0,4,0.0
1726556040,140.605,140.611,140.572,140.573,34.0,4,0.0
1726556100,140.572,140.594,140.561,140.574,47.0,4,0.0
1726556160,140.571,140.583,140.562,140.572,43.0,4,0.0
1726556220,140.573,140.608,140.573,140.608,44.0,4,0.0
1726556280,140.607,140.608,140.574,140.575,47.0,4,0.0
1726556340,140.574,140.598,140.573,140.597,58.0,4,0.0
1726556400,140.597,140.619,140.597,140.616,43.0,4,0.0
1726556460,140.617,140.654,140.617,140.654,37.0,4,0.0
1726556520,140.655,140.655,140.635,140.646,47.0,4,0.0
1726556580,140.645,140.673,140.644,140.653,45.0,4,0.0
1726556640,140.65,140.65,140.621,140.622,39.0,4,0.0
1726556700,140.621,140.626,140.6,140.603,36.0,4,0.0
1726556760,140.611,140.612,140.573,140.589,37.0,4,0.0
1726556820,140.589,140.608,140.586,140.59,30.0,4,0.0
1726556880,140.592,140.683,140.591,140.675,67.0,4,0.0
1726556940,140.675,140.707,140.674,140.694,55.0,4,0.0
1726557000,140.687,140.714,140.669,140.71,73.0,4,0.0
1726557060,140.713,140.738,140.698,140.726,69.0,4,0.0
1726557120,140.717,140.742,140.711,140.735,49.0,4,0.0
1726557180,140.734,140.75,140.715,140.718,40.0,4,0.0
1726557240,140.715,140.723,140.712,140.714,37.0,4,0.0
1726557300,140.713,140.73,140.71,140.715,48.0,4,0.0
