time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 07:00:00,130.921,130.934,130.908,130.923,202,8,0
2023-01-02 07:15:00,130.923,130.96,130.91,130.946,129,8,0
2023-01-02 07:30:00,130.948,130.957,130.907,130.938,211,8,0
2023-01-02 07:45:00,130.936,130.956,130.927,130.932,163,8,0
2023-01-02 08:00:00,130.932,130.945,130.924,130.939,162,8,0
2023-01-02 08:15:00,130.94,130.946,130.919,130.922,114,8,0
2023-01-02 08:30:00,130.92,131.051,130.919,130.962,185,6,0
2023-01-02 08:45:00,130.963,131.002,130.961,130.967,62,8,0
2023-01-02 09:00:00,130.969,130.969,130.924,130.951,74,8,0
2023-01-02 09:15:00,130.953,130.975,130.936,130.939,73,8,0
2023-01-02 09:30:00,130.938,130.957,130.915,130.943,74,8,0
2023-01-02 09:45:00,130.943,130.976,130.911,130.951,149,0,0
2023-01-02 10:00:00,130.951,130.96,130.93,130.935,113,8,0
2023-01-02 10:15:00,130.932,130.964,130.922,130.928,70,8,0
2023-01-02 10:30:00,130.93,130.962,130.925,130.944,117,8,0
2023-01-02 10:45:00,130.941,130.966,130.91,130.94,328,8,0
2023-01-02 11:00:00,130.935,130.961,130.93,130.946,252,8,0
2023-01-02 11:15:00,130.946,130.954,130.908,130.913,186,0,0
2023-01-02 11:30:00,130.913,130.914,130.856,130.872,105,8,0
2023-01-02 11:45:00,130.872,130.881,130.863,130.876,101,8,0
2023-01-02 12:00:00,130.876,130.876,130.761,130.783,137,8,0
2023-01-02 12:15:00,130.78,130.809,130.766,130.779,546,8,0
2023-01-02 12:30:00,130.778,130.802,130.763,130.781,240,8,0
2023-01-02 12:45:00,130.781,130.802,130.77,130.786,165,8,0
2023-01-02 13:00:00,130.784,130.886,130.784,130.835,149,0,0
2023-01-02 13:15:00,130.834,130.872,130.789,130.81,175,8,0
2023-01-02 13:30:00,130.814,130.846,130.781,130.813,171,8,0
2023-01-02 13:45:00,130.813,130.814,130.766,130.774,131,8,0
2023-01-02 14:00:00,130.772,130.786,130.702,130.718,138,8,0
2023-01-02 14:15:00,130.719,130.806,130.713,130.789,178,0,0
2023-01-02 14:30:00,130.786,130.806,130.733,130.743,279,8,0
2023-01-02 14:45:00,130.743,130.777,130.731,130.735,154,7,0
2023-01-02 15:00:00,130.737,130.761,130.66,130.681,243,0,0
2023-01-02 15:15:00,130.681,130.701,130.63,130.66,443,0,0
2023-01-02 15:30:00,130.658,130.692,130.631,130.633,281,0,0
2023-01-02 15:45:00,130.633,130.677,130.625,130.651,212,8,0
2023-01-02 16:00:00,130.646,130.683,130.638,130.671,2010,8,0
2023-01-02 16:15:00,130.671,130.699,130.659,130.689,520,7,0
2023-01-02 16:30:00,130.687,130.701,130.675,130.693,291,8,0
2023-01-02 16:45:00,130.693,130.796,130.665,130.756,370,8,0
2023-01-02 17:00:00,130.751,130.791,130.718,130.758,250,8,0
2023-01-02 17:15:00,130.758,130.831,130.731,130.788,355,8,0
2023-01-02 17:30:00,130.79,130.816,130.774,130.783,439,8,0
2023-01-02 17:45:00,130.783,130.829,130.767,130.789,1812,8,0
2023-01-02 18:00:00,130.788,130.841,130.673,130.821,1643,8,0
2023-01-02 18:15:00,130.816,130.818,130.706,130.791,213,8,0
2023-01-02 18:30:00,130.789,130.792,130.764,130.77,1363,0,0
2023-01-02 18:45:00,130.773,130.773,130.74,130.744,299,0,0
2023-01-02 19:00:00,130.745,130.761,130.727,130.732,793,0,0
2023-01-02 19:15:00,130.73,130.765,130.725,130.758,380,0,0
2023-01-02 19:30:00,130.758,130.801,130.754,130.788,443,8,0
2023-01-02 19:45:00,130.791,130.806,130.756,130.781,301,8,0
2023-01-02 20:00:00,130.786,130.795,130.753,130.775,386,8,0
2023-01-02 20:15:00,130.776,130.796,130.763,130.778,288,9,0
2023-01-02 20:30:00,130.783,130.802,130.763,130.79,283,9,0
2023-01-02 20:45:00,130.781,130.795,130.761,130.785,228,9,0
2023-01-02 21:00:00,130.785,130.789,130.772,130.781,84,9,0
2023-01-02 21:15:00,130.782,130.789,130.772,130.782,52,9,0
2023-01-02 21:30:00,130.781,130.789,130.758,130.762,108,2,0
2023-01-02 21:45:00,130.763,130.767,130.737,130.74,86,2,0
2023-01-02 22:00:00,130.74,130.742,130.734,130.738,67,9,0
2023-01-02 22:15:00,130.739,130.741,130.717,130.737,72,9,0
2023-01-02 22:30:00,130.74,130.742,130.722,130.74,58,9,0
2023-01-02 22:45:00,130.741,130.743,130.711,130.73,78,9,0
2023-01-02 23:00:00,130.727,130.752,130.686,130.748,153,3,0
2023-01-02 23:15:00,130.736,130.75,130.69,130.69,266,3,0
2023-01-02 23:30:00,130.662,130.707,130.662,130.707,18,15,0
2023-01-02 23:45:00,130.707,130.707,130.622,130.668,36,15,0
2023-01-03 00:00:00,130.671,130.815,130.588,130.756,21,70,0
2023-01-03 00:15:00,130.789,130.799,130.682,130.735,38,34,0
2023-01-03 00:30:00,130.736,130.758,130.7,130.745,30,33,0
2023-01-03 00:45:00,130.732,130.758,130.711,130.718,37,33,0
2023-01-03 01:00:00,130.718,130.899,130.526,130.877,708,3,0
2023-01-03 01:15:00,130.877,131.398,130.831,130.968,1910,3,0
2023-01-03 01:30:00,130.967,130.999,130.87,130.915,1400,3,0
2023-01-03 01:45:00,130.915,130.943,130.703,130.781,904,3,0
2023-01-03 02:00:00,130.78,130.904,130.755,130.769,1211,9,0
2023-01-03 02:15:00,130.769,130.871,130.769,130.805,896,2,0
2023-01-03 02:30:00,130.804,130.804,130.61,130.66,897,2,0
2023-01-03 02:45:00,130.667,130.742,130.573,130.608,975,2,0
2023-01-03 03:00:00,130.613,130.714,130.201,130.214,1729,2,0
2023-01-03 03:15:00,130.213,130.234,129.825,129.913,2574,2,0
2023-01-03 03:30:00,129.913,130.335,129.804,130.193,2570,2,0
2023-01-03 03:45:00,130.191,130.25,130.031,130.148,1494,2,0
2023-01-03 04:00:00,130.152,130.303,130.126,130.157,1076,2,0
2023-01-03 04:15:00,130.16,130.207,130.007,130.063,1186,2,0
2023-01-03 04:30:00,130.063,130.073,129.843,129.861,1693,2,0
2023-01-03 04:45:00,129.86,129.975,129.781,129.921,1670,2,0
2023-01-03 05:00:00,129.923,129.98,129.846,129.882,1282,2,0
2023-01-03 05:15:00,129.881,129.923,129.728,129.804,1033,2,0
2023-01-03 05:30:00,129.804,129.85,129.679,129.747,1123,2,0
2023-01-03 05:45:00,129.745,129.813,129.691,129.781,728,2,0
2023-01-03 06:00:00,129.775,129.795,129.506,129.548,1085,2,0
2023-01-03 06:15:00,129.541,129.647,129.541,129.628,752,2,0
2023-01-03 06:30:00,129.628,129.651,129.531,129.587,827,2,0
2023-01-03 06:45:00,129.587,129.617,129.513,129.592,747,2,0
2023-01-03 07:00:00,129.593,129.636,129.548,129.617,716,0,0
2023-01-03 07:15:00,129.622,129.828,129.599,129.745,1256,0,0
2023-01-03 07:30:00,129.744,129.892,129.721,129.793,986,0,0
2023-01-03 07:45:00,129.801,129.951,129.799,129.818,1031,0,0
